X,Y,FID,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE
12046438.8497038,1810745.91242997,1277,2268,Da Nang,VNM-QND,Quang Nam-Da Nang,VM,Vietnam,Provincial capital,1140000,2,"1,000,000 to 4,999,999",57650,0,UN_Habitat_2020
12112896.2548747,1703494.39336327,1278,2269,Quang Ngai,VNM-QNG,Quang Ngai,VM,Vietnam,Provincial capital,0,0, ,0,1, 
12024175.1642355,1614401.535701,1279,2270,Kon Tum,VNM-KTM,Kon Tum,VM,Vietnam,Provincial capital,0,0, ,0,1, 
12024360.5219386,1568480.80308711,1280,2271,Play Cu,VNM-GLA,Gia Lai,VM,Vietnam,Provincial capital,0,0, ,0,0, 
12159798.0539356,1547459.68238027,1281,2272,Qui Nhon,VNM-BDN,Binh Dinh,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11909070.7017257,1517716.0730043,1282,2273,Lumphat,KHM-RTN,Rotanokiri,CB,Cambodia,Provincial capital,0,0, ,0,0, 
12169001.2794276,1469102.58316635,1283,2274,Tuy Hoa,VNM-PYN,Phu Yen,VM,Vietnam,Provincial capital,0,0, ,0,0, 
12028071.4708416,1421674.63860166,1284,2275,Buon Me Thuot,VNM-DLA,Dac Lac,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11933449.3476927,1396964.29003978,1285,2276,Senmonorom,KHM-MKI,Mondol Kiri,CB,Cambodia,Provincial capital,0,0, ,0,0, 
12156422.7273734,1373375.58721211,1286,2277,Nha Trang,VNM-KHO,Khanh Hoa,VM,Vietnam,Provincial capital,0,0, ,57620,0, 
12071708.1410922,1339449.46550429,1287,2278,Da Lat,VNM-LDO,Lam Dong,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11517860.3926296,473542.054872184,1288,2279,Kemaman Harbor,MYS-TRN,Terengganu,MY,Malaysia,Other,0,0, ,57416,0, 
11503010.6100117,423324.306362689,1289,2280,Kuantan New Port,MYS-PHN,Pahang,MY,Malaysia,Other,418219,4,"250,000 to 499,999",57410,0,UN_Data_2010_2020
12034082.7195248,1223148.71254572,1290,2281,Phan Thiet,VNM-BTN,Binh Thuan,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11481603.526928,593631.828243583,1291,2282,Kuala Terengganu,MYS-TRN,Terengganu,MY,Malaysia,Provincial capital,246266,5,"100,000 to 249,999",57420,0,UN_Data_2010_2020
11359263.5190794,466175.372816124,1292,2283,Kuala Lipis,MYS-PHN,Pahang,MY,Malaysia,Provincial capital,0,0, ,0,0, 
11322082.9228406,350833.167725333,1293,2284,Kuala Lumpur,MYS-KLL,Kuala Lumpur,MY,Malaysia,National and provincial capital,1839451,2,"1,000,000 to 4,999,999",0,1,UN_Data_2010_2020
